name,cuisine,type,address,yelp_url,score,review_count,menu_items
Freebirds World Burrito,Mexican,Fast Casual,879 Embarcadero del Norte,https://www.yelp.com/biz/freebirds-isla-vista,N/A,N/A,N/A
Woodstock's Pizza,Pizza,Restaurant,6547 Pardall Rd,https://www.yelp.com/search?find_desc=open+now&find_loc=Isla+Vista%2C+CA+93117,N/A,N/A,N/A
The Habit Burger Grill,Burgers,Fast Casual,888 Embarcadero del Norte,https://www.yelp.com/biz/habit-burger-and-grill-isla-vista,N/A,N/A,N/A
Hana Kitchen,Japanese,Restaurant,6560 Pardall Rd,https://m.yelp.com/search?find_desc=Vegan+Restaurants&find_loc=Isla+Vista%2C+CA,N/A,N/A,N/A
Caje,Cafe/Breakfast,Cafe,6533 Pardall Rd,https://m.yelp.com/search?find_desc=Bagel&find_loc=Goleta%2C+CA,N/A,N/A,N/A
I.V. Drip,Coffee/Cafe,Cafe,6555 Pardall Rd,https://www.yelp.com/search?find_desc=Cannabis+Dispensaries&find_loc=Santa+Barbara%2C+CA,N/A,N/A,N/A
Naan Stop,Indian,Fast Casual,868 Embarcadero del Norte,https://www.yelp.com/search?find_desc=Indian+Restaurant&find_loc=Solvang%2C+CA+93463,N/A,N/A,N/A
L&L Hawaiian Barbecue,Hawaiian,Poke Bowl,7127 Hollister Avenue,https://www.yelp.com/biz/l-and-l-hawaiian-barbeque-goleta,N/A,N/A,N/A
Phamous Café,Vietnaemse,Fast Food,7127 Hollister Avenue,https://www.yelp.com/biz/phamous-cafe-goleta,N/A,N/A,N/A
On The Alley,Seafood,Restaurant,7038 Marketplace Drive,https://www.yelp.com/biz/on-the-alley-goleta-goleta-2,N/A,N/A,N/A
Santa Barbara Fish Market,Seafood,Restaurant,7127 Hollister Avenue,https://www.yelp.com/biz/santa-barbara-fish-market-and-restaurant-goleta-goleta,N/A,N/A,N/A
Antojitos La Paloma,Mexican,Fast Casual,6543 Pardall Road,https://www.yelp.com/biz/antojitos-la-paloma-isla-vista,N/A,N/A,N/A
Asia 101,Asian Fusion,Fast Casual,903 Embarcadero del Norte,https://www.yelp.com/biz/asia-101-isla-vista,N/A,N/A,N/A
Cajun Kitchen Cafe,Breakfast / Cajun,Restaurant,6831 Hollister Avenue,https://www.yelp.com/biz/cajun-kitchen-cafe-goleta,N/A,N/A,N/A
Chili's,American,Fast Casual,6950 Marketplace Drive,https://www.yelp.com/biz/chilis-goleta-2,N/A,N/A,N/A
Chop Chinese Food,Chinese,Fast Casual,966 Embarcadero del Mar,https://www.yelp.com/biz/chop-chinese-food-isla-vista,N/A,N/A,N/A
Elubia's Kitchen,Mexican,Fast Casual,6578 Trigo Road,https://www.yelp.com/biz/elubias-kitchen-isla-vista-6,N/A,N/A,N/A
Hummus Republic,Mediterranean,Fast Casual,6546 Pardall Road,https://www.yelp.com/biz/hummus-republic-goleta-2,N/A,N/A,N/A
Jane,American,Restaurant,6940 Marketplace Drive,https://www.yelp.com/biz/jane-at-the-marketplace-goleta,N/A,N/A,N/A
Kaiju,Japanese,Restaurant,901 Embarcadero del Mar,https://www.yelp.com/biz/kaiju-ramen-and-curry-isla-vista,N/A,N/A,N/A
Lao Wang,Chinese,Fast Casual,6580 Trigo Road,https://m.yelp.com/search?find_desc=Chicken&find_loc=Isla+Vista%2C+CA,N/A,N/A,N/A
Maria's Tacos,Mexican,Fast Casual,6545 Pardall Road,https://www.yelp.com/biz/maria-s-tacos-isla-vista,N/A,N/A,N/A
Lily's Taqueria,Mexican,Fast Casual,Storke Road,https://www.yelp.com/biz/lillys-tacos-goleta,N/A,N/A,N/A
Rusty's Pizza Parlor,American,Fast Casual,6583 Pardall Road,https://m.yelp.com/biz/rustys-pizza-parlor-goleta-5,N/A,N/A,N/A
Saigon Noodle House,Vietnamese,Fast Casual,6831 Hollister Avenue,https://www.yelp.com/biz/saigon-noodle-house-goleta,N/A,N/A,N/A
Su's Bowl,Chinese,Fast Casual,901 Embarcadero del Mar,https://www.yelp.com/biz/su-s-bowl-isla-vista-2,N/A,N/A,N/A
Teddy Rice,Asian Fusion,Fast Casual,966 Embarcadero del Mar,https://www.yelp.com/biz/teddy-rice-isla-vista,N/A,N/A,N/A
Yetz's Bagels,American,Fast Casual,901 Embarcadero del Mar,https://www.yelp.com/biz/yetzs-bagels-isla-vista,N/A,N/A,N/A
Yetz's Deli,American,Fast Casual,901 Embarcadero del Mar,https://www.yelp.com/biz/yetzs-deli-isla-vista-3,N/A,N/A,N/A
Zocalo,Mexican,Fast Casual,901 Embarcadero del Mar,https://www.yelp.com/biz/zocalo-isla-vista,N/A,N/A,N/A
McDonald's,American,Fast Food,6900 Market Pl Dr,https://www.yelp.com/biz/mcdonalds-goleta-2,N/A,N/A,N/A
Wingstop,Wings,Fast Casual,888 Embarcadero del Norte,https://www.yelp.com/biz/wingstop-goleta,N/A,N/A,N/A
Subway,Sandwiches,Fast Food,6831 Hollister Ave,https://www.yelp.com/biz/subway-goleta-8,N/A,N/A,N/A
Chipotle Mexican Grill,Mexican,Fast Casual,270 Storke Rd,https://www.yelp.com/biz/chipotle-mexican-grill-goleta,N/A,N/A,N/A
Jack in the Box,American,Fast Food,6875 Hollister Ave,https://www.yelp.com/biz/jack-in-the-box-goleta,N/A,N/A,N/A
Costco,N/A,Supermarket,7095 Market Pl Dr,N/A,N/A,N/A,N/A
Trader Joe's,N/A,Supermarket,5767 Calle Real,https://www.yelp.com/biz/trader-joes-goleta,N/A,N/A,N/A
Whole Foods Market,N/A,Supermarket,3761 State St,https://www.yelp.com/biz/whole-foods-market-santa-barbara,N/A,N/A,N/A
Albertsons,N/A,Supermarket,7127 Hollister Ave,https://www.yelp.com/biz/albertsons-goleta,N/A,N/A,N/A
Sprouts Farmers Market,N/A,Supermarket,175 N Fairview Ave,https://www.yelp.com/biz/sprouts-farmers-market-goleta-2,N/A,N/A,N/A
Smart & Final,N/A,Supermarket,7090 Hollister Ave,https://www.yelp.com/biz/smart-and-final-extra-goleta-4,N/A,N/A,N/A
Isla Vista Food Co-op,N/A,Supermarket,6575 Seville Rd,https://www.yelp.com/biz/isla-vista-food-cooperative-goleta,N/A,N/A,N/A
Isla Vista Market,N/A,Supermarket,939 Embarcadero del Mar,https://www.yelp.com/biz/isla-vista-market-goleta,N/A,N/A,N/A
International Food Market,N/A,Supermarket,6551 Trigo Road,https://www.yelp.com/biz/international-food-market-goleta,N/A,N/A,N/A
